maintenance_id,vehicle_id,maintenance_type,scheduled_date,cost
1,22,oil_change,2025-04-02,117.26
2,8,brake_check,2025-04-10,100.99
3,48,tire_rotation,2025-04-01,44.26
4,47,oil_change,2025-04-02,95.36
5,1,tire_rotation,2025-04-14,186.42
6,15,brake_check,2025-04-11,58.92
7,16,oil_change,2025-04-11,122.56
8,6,brake_check,2025-04-14,142.69
9,3,brake_check,2025-04-03,92.8
10,22,tire_rotation,2025-04-07,87.68
11,43,tire_rotation,2025-04-05,46.94
12,45,oil_change,2025-04-17,160.47
13,10,brake_check,2025-04-01,131.27
14,1,brake_check,2025-04-01,97.28
15,30,brake_check,2025-04-02,143.9
16,48,brake_check,2025-04-01,72.43
17,37,brake_check,2025-04-07,59.28
18,4,tire_rotation,2025-04-03,84.37
19,26,oil_change,2025-04-16,104.95
20,29,oil_change,2025-04-12,40.43
21,20,tire_rotation,2025-04-13,195.82
22,40,brake_check,2025-04-07,82.61
23,41,tire_rotation,2025-04-03,111.97
24,19,tire_rotation,2025-04-11,179.92
25,10,tire_rotation,2025-04-10,194.93
26,22,oil_change,2025-04-10,48.37
27,39,oil_change,2025-04-03,31.65
28,14,brake_check,2025-04-16,178.37
29,26,tire_rotation,2025-04-12,167.84
30,25,tire_rotation,2025-04-01,89.36
31,8,tire_rotation,2025-04-07,74.39
32,9,brake_check,2025-04-11,53.35
33,39,oil_change,2025-04-05,124.61
34,3,brake_check,2025-04-07,55.11
35,36,brake_check,2025-04-13,167.13
36,20,oil_change,2025-04-07,166.42
37,6,brake_check,2025-04-07,137.89
38,24,brake_check,2025-04-10,149.08
39,11,brake_check,2025-04-01,37.98
40,24,brake_check,2025-04-08,88.06
41,37,brake_check,2025-04-04,62.92
42,8,brake_check,2025-04-01,45.51
43,17,oil_change,2025-04-12,182.02
44,16,tire_rotation,2025-04-02,186.45
45,40,brake_check,2025-04-17,82.91
46,2,tire_rotation,2025-04-15,147.97
47,26,oil_change,2025-04-06,32.36
48,32,brake_check,2025-04-05,92.14
49,25,oil_change,2025-04-08,53.65
50,28,tire_rotation,2025-04-06,169.99
51,22,brake_check,2025-04-13,180.0
52,26,oil_change,2025-04-15,48.31
53,17,brake_check,2025-04-04,37.47
54,8,tire_rotation,2025-04-07,100.49
55,25,oil_change,2025-04-13,141.45
56,4,oil_change,2025-04-13,52.15
57,3,oil_change,2025-04-02,72.16
58,21,tire_rotation,2025-04-15,163.06
59,21,brake_check,2025-04-02,199.79
60,43,oil_change,2025-04-14,132.67
61,45,tire_rotation,2025-04-10,116.67
62,3,brake_check,2025-04-01,88.12
63,42,brake_check,2025-04-14,30.58
64,2,oil_change,2025-04-12,119.9
65,2,brake_check,2025-04-14,163.09
66,31,tire_rotation,2025-04-17,121.75
67,36,tire_rotation,2025-04-07,114.8
68,13,oil_change,2025-04-14,50.75
69,47,oil_change,2025-04-10,144.14
70,5,brake_check,2025-04-17,58.79
71,15,oil_change,2025-04-09,112.68
72,33,brake_check,2025-04-08,192.22
73,34,brake_check,2025-04-16,32.26
74,22,brake_check,2025-04-16,139.64
75,13,oil_change,2025-04-06,92.05
76,9,brake_check,2025-04-02,93.74
77,23,oil_change,2025-04-13,146.05
78,7,brake_check,2025-04-02,179.63
79,47,brake_check,2025-04-11,94.79
