alert_id,vehicle_id,issue,severity,timestamp
1,1,engine check,medium,2025-04-14 05:16:51
2,20,battery fault,low,2025-04-06 12:45:12
3,27,engine check,high,2025-04-13 08:36:14
4,12,low tire pressure,high,2025-04-02 06:00:10
5,24,engine check,low,2025-04-01 06:36:01
6,30,low tire pressure,low,2025-04-17 12:23:54
7,10,battery fault,medium,2025-04-13 20:51:30
8,20,battery fault,high,2025-04-10 05:18:27
9,5,battery fault,medium,2025-04-15 03:34:17
10,15,battery fault,high,2025-04-14 08:10:21
11,22,low tire pressure,medium,2025-04-10 08:06:07
12,32,low tire pressure,low,2025-04-02 12:50:26
13,34,engine check,low,2025-04-02 16:36:29
14,2,engine check,high,2025-04-03 21:29:24
15,6,battery fault,low,2025-04-10 13:17:48
16,5,engine check,medium,2025-04-11 12:25:22
17,41,low tire pressure,medium,2025-04-05 18:23:33
18,20,engine check,high,2025-04-16 22:30:20
19,8,battery fault,medium,2025-04-11 04:34:20
20,44,engine check,high,2025-04-12 17:26:57
21,21,battery fault,high,2025-04-06 23:08:00
22,44,engine check,high,2025-04-17 02:17:00
23,41,battery fault,medium,2025-04-10 09:27:33
24,25,engine check,high,2025-04-16 22:02:33
25,20,engine check,low,2025-04-10 04:36:51
26,23,engine check,high,2025-04-06 05:33:11
27,8,battery fault,low,2025-04-15 15:17:53
28,11,engine check,low,2025-04-08 20:18:56
29,48,low tire pressure,high,2025-04-01 11:19:02
30,30,battery fault,high,2025-04-09 08:38:52
31,44,battery fault,high,2025-04-01 17:51:21
32,19,low tire pressure,medium,2025-04-04 09:12:21
33,3,low tire pressure,low,2025-04-04 16:58:57
34,13,engine check,medium,2025-04-01 21:56:17
35,5,battery fault,low,2025-04-17 16:02:08
36,48,engine check,low,2025-04-02 02:14:08
37,12,low tire pressure,low,2025-04-04 02:16:34
38,2,battery fault,medium,2025-04-09 03:26:21
39,32,battery fault,medium,2025-04-11 17:08:14
40,41,battery fault,medium,2025-04-14 11:29:38
41,46,low tire pressure,high,2025-04-15 15:45:09
42,43,low tire pressure,high,2025-04-11 17:44:02
43,12,battery fault,low,2025-04-09 19:55:20
44,1,engine check,medium,2025-04-06 12:44:02
45,40,engine check,medium,2025-04-04 21:19:14
46,43,engine check,medium,2025-04-08 00:01:05
47,22,engine check,low,2025-04-04 19:40:51
48,31,battery fault,high,2025-04-08 21:08:02
49,50,battery fault,high,2025-04-12 06:03:48
50,20,battery fault,high,2025-04-13 05:14:56
51,10,low tire pressure,high,2025-04-04 23:01:29
52,49,engine check,low,2025-04-02 23:08:12
53,27,engine check,low,2025-04-06 15:53:01
54,10,low tire pressure,low,2025-04-02 19:25:50
55,26,low tire pressure,low,2025-04-02 14:40:30
56,16,battery fault,low,2025-04-17 15:58:45
57,40,engine check,medium,2025-04-06 19:36:55
58,50,battery fault,medium,2025-04-12 14:28:24
59,29,low tire pressure,medium,2025-04-15 19:41:54
60,3,battery fault,high,2025-04-07 09:48:11
61,19,engine check,high,2025-04-17 08:24:36
62,49,low tire pressure,low,2025-04-12 09:20:55
63,18,battery fault,low,2025-04-04 02:38:53
64,29,engine check,low,2025-04-16 04:05:37
65,32,battery fault,medium,2025-04-13 18:50:25
66,36,battery fault,high,2025-04-15 10:19:16
67,39,engine check,high,2025-04-16 03:54:00
68,32,low tire pressure,high,2025-04-07 02:34:16
69,41,engine check,high,2025-04-08 17:08:57
70,37,engine check,high,2025-04-01 17:01:28
71,30,battery fault,low,2025-04-16 10:48:09
72,42,low tire pressure,high,2025-04-10 15:21:22
73,21,low tire pressure,low,2025-04-01 05:18:58
74,45,battery fault,medium,2025-04-16 16:29:27
75,33,engine check,medium,2025-04-07 18:19:01
76,49,low tire pressure,medium,2025-04-05 08:35:00
77,34,engine check,medium,2025-04-07 09:19:43
78,40,engine check,medium,2025-04-04 19:43:59
79,45,battery fault,medium,2025-04-02 18:35:50
80,12,battery fault,high,2025-04-17 06:18:51
81,25,battery fault,low,2025-04-06 06:20:35
82,10,engine check,medium,2025-04-17 04:16:35
83,7,battery fault,low,2025-04-12 18:25:47
84,12,engine check,low,2025-04-01 14:53:56
85,48,battery fault,low,2025-04-16 07:58:11
86,26,low tire pressure,medium,2025-04-01 05:15:56
87,43,engine check,high,2025-04-05 19:42:27
88,35,engine check,low,2025-04-08 15:42:34
89,12,battery fault,low,2025-04-03 18:33:07
90,44,low tire pressure,medium,2025-04-01 03:16:56
91,48,battery fault,high,2025-04-08 14:39:39
92,34,engine check,medium,2025-04-08 06:38:46
93,24,battery fault,high,2025-04-07 07:22:49
94,35,low tire pressure,high,2025-04-01 20:21:47
95,44,low tire pressure,medium,2025-04-10 03:08:31
96,18,low tire pressure,high,2025-04-04 05:10:39
97,9,battery fault,low,2025-04-11 06:51:53
98,36,engine check,medium,2025-04-10 21:02:00
99,1,low tire pressure,medium,2025-04-14 18:45:44
100,15,engine check,medium,2025-04-11 16:37:23
101,12,engine check,low,2025-04-17 05:35:36
102,3,engine check,low,2025-04-08 22:49:35
103,40,engine check,high,2025-04-16 03:36:04
104,36,battery fault,low,2025-04-15 02:02:52
105,19,engine check,high,2025-04-11 12:17:56
106,27,battery fault,high,2025-04-13 10:33:50
107,24,low tire pressure,high,2025-04-12 06:03:31
108,16,low tire pressure,low,2025-04-14 11:01:46
109,27,low tire pressure,high,2025-04-12 20:26:05
110,22,engine check,low,2025-04-14 00:11:09
111,14,engine check,high,2025-04-16 03:37:31
112,26,battery fault,medium,2025-04-07 06:06:46
113,21,battery fault,medium,2025-04-16 02:54:39
114,21,battery fault,low,2025-04-03 05:10:50
115,25,engine check,medium,2025-04-17 05:44:39
116,33,battery fault,low,2025-04-04 20:14:54
117,27,low tire pressure,high,2025-04-04 06:10:57
118,11,engine check,high,2025-04-01 04:19:10
119,20,engine check,high,2025-04-05 13:55:26
120,14,low tire pressure,low,2025-04-17 04:33:16
