telemetry_id,vehicle_id,timestamp,speed_kmh,charge_level,battery_temp,latitude,longitude,errors
1,34,2025-04-07 13:49:10,56.88,45.4,25.44,42.444579,-78.65155,low_battery
2,50,2025-04-11 01:44:00,79.07,33.19,29.13,42.297417,-78.621139,overheat
3,29,2025-04-14 10:17:04,24.83,95.48,30.63,42.383956,-78.79029,low_battery
4,6,2025-04-01 06:53:34,48.94,66.4,34.87,42.119119,-78.641921,overheat
5,38,2025-04-02 09:38:33,79.33,47.99,31.44,42.089423,-78.607757,low_battery
6,8,2025-04-06 23:16:56,68.0,20.72,38.96,42.170953,-78.504488,
7,24,2025-04-03 18:43:44,61.41,98.73,41.35,42.196751,-78.418487,
8,30,2025-04-01 19:54:26,45.4,60.68,35.15,42.161291,-78.537226,
9,41,2025-04-17 12:17:51,97.78,35.1,26.57,42.163582,-78.819728,low_battery
10,34,2025-04-08 01:01:34,83.5,30.11,41.7,42.217899,-78.44771,
11,21,2025-04-16 03:14:55,22.31,70.83,43.79,42.186346,-78.682158,
12,32,2025-04-04 21:10:16,66.04,86.59,37.08,42.262672,-78.760426,low_battery
13,18,2025-04-10 18:03:35,80.0,54.66,29.52,42.060534,-78.87403,
14,20,2025-04-09 20:30:15,31.39,58.34,39.18,42.080186,-78.847392,low_battery
15,2,2025-04-12 15:20:51,70.81,95.69,41.98,42.161011,-78.825278,
16,23,2025-04-12 12:12:24,88.85,82.93,28.54,42.197458,-78.516556,low_battery
17,17,2025-04-10 05:23:20,94.84,42.8,39.03,42.488053,-78.770804,
18,4,2025-04-09 15:03:53,48.23,93.39,28.08,42.401866,-78.641263,
19,34,2025-04-09 07:24:31,97.13,39.82,29.88,42.21268,-78.723349,
20,4,2025-04-08 15:41:08,79.46,59.83,36.01,42.031671,-78.597939,low_battery
21,28,2025-04-09 23:55:42,34.42,80.7,30.52,42.187813,-78.5017,low_battery
22,34,2025-04-01 18:44:36,72.77,83.92,30.29,42.257312,-78.694171,low_battery
23,40,2025-04-02 00:34:33,62.28,27.2,31.94,42.349039,-78.528601,
24,31,2025-04-14 08:07:04,53.93,46.41,41.79,42.078891,-78.455523,
25,43,2025-04-13 07:34:05,57.85,80.32,43.55,42.208173,-78.531828,low_battery
26,17,2025-04-02 22:44:22,27.71,67.01,34.03,42.304734,-78.850905,
27,50,2025-04-02 18:20:06,26.87,62.8,28.96,42.139423,-78.836357,overheat
28,13,2025-04-09 15:43:22,29.73,43.35,36.21,42.371639,-78.490137,
29,26,2025-04-03 04:34:29,72.36,96.67,31.64,42.440652,-78.601857,low_battery
30,16,2025-04-13 22:41:17,66.65,27.04,29.07,42.030759,-78.440727,overheat
31,36,2025-04-05 21:37:02,72.54,63.33,26.33,42.375585,-78.537308,overheat
32,29,2025-04-13 07:59:29,70.65,68.28,29.14,42.414681,-78.439024,
33,2,2025-04-07 03:13:20,54.58,65.33,43.36,42.152313,-78.620892,overheat
34,38,2025-04-05 02:37:00,80.05,61.05,29.96,42.297904,-78.784941,low_battery
35,17,2025-04-13 20:06:23,58.92,45.73,44.5,42.12805,-78.839676,overheat
36,15,2025-04-13 07:46:37,50.73,36.11,40.24,42.472489,-78.649187,overheat
37,48,2025-04-16 07:04:56,78.48,22.44,39.95,42.262641,-78.402353,
38,11,2025-04-16 05:59:32,26.66,48.4,38.82,42.497925,-78.776045,overheat
39,19,2025-04-11 16:51:25,54.99,89.95,26.68,42.437612,-78.842388,overheat
40,13,2025-04-07 04:01:00,81.55,33.35,31.35,42.169922,-78.587052,overheat
41,23,2025-04-13 20:35:24,23.45,38.9,36.13,42.053959,-78.507009,
42,23,2025-04-13 15:27:05,40.31,57.77,29.44,42.47788,-78.401573,low_battery
43,48,2025-04-17 06:32:02,61.9,86.99,37.64,42.45077,-78.467199,
44,36,2025-04-07 08:57:06,26.35,87.84,25.84,42.331279,-78.580209,low_battery
45,16,2025-04-11 09:11:46,41.32,60.97,33.24,42.081079,-78.860398,overheat
46,41,2025-04-13 14:53:35,39.17,53.04,26.69,42.45501,-78.780027,
47,25,2025-04-08 19:54:46,80.1,48.34,32.4,42.040608,-78.873158,low_battery
48,38,2025-04-15 17:06:40,26.74,72.3,34.8,42.187439,-78.520479,low_battery
49,16,2025-04-11 01:37:15,62.52,57.99,37.94,42.300593,-78.798837,overheat
50,34,2025-04-11 21:07:01,40.06,51.92,44.28,42.441883,-78.717471,
51,38,2025-04-12 09:14:31,83.49,30.12,32.9,42.1261,-78.584838,overheat
