payment_id,ride_id,customer_id,amount,payment_method,payment_status
1,1,49,32.2,cash,pending
2,2,11,20.47,cash,pending
3,3,11,32.73,paypal,failed
4,4,30,23.96,credit_card,completed
5,5,22,12.86,credit_card,completed
6,6,10,24.08,credit_card,failed
7,7,36,59.37,cash,pending
8,8,23,24.77,credit_card,completed
9,9,29,28.53,paypal,failed
10,10,33,38.96,paypal,completed
11,11,30,49.17,cash,failed
12,12,31,51.96,cash,completed
13,13,13,48.22,paypal,completed
14,14,27,46.18,paypal,pending
15,15,28,20.62,cash,pending
16,16,21,39.88,paypal,pending
17,17,8,15.11,credit_card,failed
18,18,48,47.13,cash,pending
19,19,27,48.8,credit_card,failed
20,20,19,39.77,cash,failed
21,21,9,14.21,cash,failed
22,22,19,42.81,paypal,completed
23,23,33,20.73,credit_card,failed
24,24,45,20.2,paypal,failed
25,25,1,52.11,cash,failed
26,26,16,23.21,credit_card,pending
27,27,5,29.93,credit_card,pending
28,28,27,18.84,cash,completed
29,29,31,12.73,paypal,failed
30,30,29,24.23,cash,failed
31,31,27,21.9,cash,pending
32,32,8,28.65,cash,failed
33,33,34,29.04,paypal,completed
34,34,43,12.27,credit_card,pending
35,35,27,34.17,credit_card,failed
36,36,16,36.51,credit_card,pending
37,37,8,47.68,paypal,completed
38,38,50,58.97,paypal,failed
39,39,44,14.35,paypal,failed
40,40,26,43.87,cash,pending
41,41,18,44.65,paypal,completed
42,42,47,32.44,cash,completed
43,43,45,12.04,cash,completed
44,44,1,20.0,paypal,pending
45,45,24,35.23,paypal,completed
46,46,1,12.13,cash,completed
47,47,41,43.32,paypal,failed
48,48,19,48.74,paypal,pending
49,49,6,26.95,paypal,failed
50,50,39,32.39,paypal,failed
51,51,16,11.58,credit_card,failed
52,52,9,19.27,cash,pending
53,53,33,19.0,credit_card,completed
54,54,5,41.83,cash,pending
55,55,28,13.01,credit_card,completed
56,56,33,28.5,cash,pending
57,57,43,24.47,credit_card,failed
58,58,22,48.76,paypal,failed
59,59,12,20.42,cash,pending
60,60,34,19.68,cash,failed
61,61,44,33.82,cash,pending
62,62,19,17.62,cash,failed
63,63,32,50.8,paypal,failed
64,64,29,33.44,paypal,pending
65,65,4,16.15,cash,completed
66,66,21,59.72,paypal,completed
67,67,42,57.87,cash,completed
68,68,28,18.37,paypal,completed
69,69,49,15.5,credit_card,pending
70,70,38,46.07,credit_card,completed
71,71,2,49.21,credit_card,pending
72,72,18,20.53,cash,pending
73,73,23,11.17,cash,failed
74,74,35,29.4,cash,failed
75,75,29,51.43,cash,failed
76,76,17,48.54,cash,pending
77,77,42,14.32,cash,pending
78,78,30,16.15,cash,failed
79,79,38,10.37,cash,completed
80,80,24,52.87,credit_card,failed
81,81,25,48.85,paypal,failed
82,82,18,19.57,cash,pending
83,83,25,36.71,paypal,completed
84,84,37,45.12,paypal,pending
85,85,26,14.83,credit_card,failed
86,86,20,59.75,credit_card,failed
87,87,18,32.89,cash,failed
88,88,7,36.58,cash,failed
89,89,40,53.28,cash,failed
90,90,17,43.03,credit_card,failed
91,91,32,18.9,paypal,pending
92,92,20,19.76,cash,failed
93,93,31,32.91,cash,failed
94,94,7,22.24,cash,failed
95,95,43,49.65,credit_card,pending
96,96,4,50.56,credit_card,failed
97,97,18,42.58,cash,completed
98,98,18,27.92,credit_card,pending
99,99,25,58.28,credit_card,pending
100,100,28,26.57,cash,completed
101,101,1,26.16,credit_card,pending
102,102,38,41.32,cash,pending
103,103,1,42.78,cash,failed
104,104,33,49.89,credit_card,pending
105,105,8,48.6,paypal,failed
106,106,22,36.37,paypal,failed
107,107,30,37.92,cash,completed
108,108,32,36.7,cash,failed
109,109,44,44.93,credit_card,completed
110,110,48,38.01,credit_card,completed
